##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(транзит);;;x
PROV6370;Skowhegan;Skowhegan;Skowhegan;Skowhegan;Skowhegan;Skowhegan;;;;;X
PROV6371;Manchester, NH;Manchester, NH;Manchester, NH;Manchester, NH;Manchester, NH;Manchester, NH;;;;;X
PROV6372;Berlin, NH;Berlin, NH;Berlin, NH;Berlin, NH;Berlin, NH;Berlin, NH;;;;;X
PROV6373;Rutland;Rutland;Rutland;Rutland;Rutland;Rutland;;;;;X
PROV6374;Montpelier;Montpelier;Montpelier;Montpelier;Montpelier;Montpelier;;;;;X
PROV6375;New Bedford;New Bedford;New Bedford;New Bedford;New Bedford;New Bedford;;;;;X
PROV6376;Pittsfield;Pittsfield;Pittsfield;Pittsfield;Pittsfield;Pittsfield;;;;;X
PROV6377;Washington, PA;Washington, PA;Washington, PA;Washington, PA;Washington, PA;Washington, PA;;;;;X
PROV6378;New Castle;New Castle;New Castle;New Castle;New Castle;New Castle;;;;;X
PROV6379;DuBois;DuBois;DuBois;DuBois;DuBois;DuBois;;;;;X
PROV6380;Allentown;Allentown;Allentown;Allentown;Allentown;Allentown;;;;;X
PROV6381;Williamsport;Williamsport;Williamsport;Williamsport;Williamsport;Williamsport;;;;;X
PROV6382;Lima, OH;Lima, OH;Lima, OH;Lima, OH;Lima, OH;Lima, OH;;;;;X
PROV6383;Dayton;Dayton;Dayton;Dayton;Dayton;Dayton;;;;;X
PROV6384;Chillicothe;Chillicothe;Chillicothe;Chillicothe;Chillicothe;Chillicothe;;;;;X
PROV6385;Canton;Canton;Canton;Canton;Canton;Canton;;;;;X
PROV6386;Mansfield;Mansfield;Mansfield;Mansfield;Mansfield;Mansfield;;;;;X
PROV6387;Zanesville;Zanesville;Zanesville;Zanesville;Zanesville;Zanesville;;;;;X
PROV6388;Anderson;Anderson;Anderson;Anderson;Anderson;Anderson;;;;;X
PROV6389;Evansville;Evansville;Evansville;Evansville;Evansville;Evansville;;;;;X
PROV6390;Seymour;Seymour;Seymour;Seymour;Seymour;Seymour;;;;;X
PROV6391;Logansport;Logansport;Logansport;Logansport;Logansport;Logansport;;;;;X
PROV6392;Terre Haute;Terre Haute;Terre Haute;Terre Haute;Terre Haute;Terre Haute;;;;;X
PROV6393;Kokomo;Kokomo;Kokomo;Kokomo;Kokomo;Kokomo;;;;;X
PROV6394;Gary;Gary;Gary;Gary;Gary;Gary;;;;;X
PROV6395;Bloomington;Bloomington;Bloomington;Bloomington;Bloomington;Bloomington;;;;;X
PROV6396;Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;;;;;X
PROV6397;Quincy;Quincy;Quincy;Quincy;Quincy;Quincy;;;;;X
PROV6398;Mount Vernon;Mount Vernon;Mount Vernon;Mount Vernon;Mount Vernon;Mount Vernon;;;;;X
PROV6399;Marion;Marion;Marion;Marion;Marion;Marion;;;;;X
PROV6400;Joliet;Joliet;Joliet;Joliet;Joliet;Joliet;;;;;X
PROV6401;Urbana;Urbana;Urbana;Urbana;Urbana;Urbana;;;;;X
PROV6402;Rockford;Rockford;Rockford;Rockford;Rockford;Rockford;;;;;X
PROV6403;Chippewa Falls;Chippewa Falls;Chippewa Falls;Chippewa Falls;Chippewa Falls;Chippewa Falls;;;;;X
PROV6404;Appleton;Appleton;Appleton;Appleton;Appleton;Appleton;;;;;X
PROV6405;Superior;Superior;Superior;Superior;Superior;Superior;;;;;X
PROV6406;Hudson;Hudson;Hudson;Hudson;Hudson;Hudson;;;;;X
PROV6407;Wisconsin Rapids;Wisconsin Rapids;Wisconsin Rapids;Wisconsin Rapids;Wisconsin Rapids;Wisconsin Rapids;;;;;X
PROV6408;Madison;Madison;Madison;Madison;Madison;Madison;;;;;X
PROV6409;La Crosse;La Crosse;La Crosse;La Crosse;La Crosse;La Crosse;;;;;X
PROV6410;Sheboygan;Sheboygan;Sheboygan;Sheboygan;Sheboygan;Sheboygan;;;;;X
PROV6411;Wausau;Wausau;Wausau;Wausau;Wausau;Wausau;;;;;X
PROV6412;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;;;;;X
PROV6413;Mount Pleasant;Mount Pleasant;Mount Pleasant;Mount Pleasant;Mount Pleasant;Mount Pleasant;;;;;X
PROV6414;Jackson, MI;Jackson, MI;Jackson, MI;Jackson, MI;Jackson, MI;Jackson, MI;;;;;X
PROV6415;Alpena;Alpena;Alpena;Alpena;Alpena;Alpena;;;;;X
PROV6416;Saginaw;Saginaw;Saginaw;Saginaw;Saginaw;Saginaw;;;;;X
PROV6417;Traverse City;Traverse City;Traverse City;Traverse City;Traverse City;Traverse City;;;;;X
PROV6418;Petoskey;Petoskey;Petoskey;Petoskey;Petoskey;Petoskey;;;;;X
PROV6419;Kalamazoo;Kalamazoo;Kalamazoo;Kalamazoo;Kalamazoo;Kalamazoo;;;;;X
PROV6420;Menominee;Menominee;Menominee;Menominee;Menominee;Menominee;;;;;X
PROV6421;Houghton;Houghton;Houghton;Houghton;Houghton;Houghton;;;;;X
PROV6422;Escanaba;Escanaba;Escanaba;Escanaba;Escanaba;Escanaba;;;;;X
PROV6423;Sault Sainte Marie, MI;Sault Sainte Marie, MI;Sault Sainte Marie, MI;Sault Sainte Marie, MI;Sault Sainte Marie, MI;Sault Sainte Marie, MI;;;;;X
PROV6424;Columbus, MS;Columbus, MS;Columbus, MS;Columbus, MS;Columbus, MS;Columbus, MS;;;;;X
PROV6425;Tupelo;Tupelo;Tupelo;Tupelo;Tupelo;Tupelo;;;;;X
PROV6426;Natchez;Natchez;Natchez;Natchez;Natchez;Natchez;;;;;X
PROV6427;Greenville, MS;Greenville, MS;Greenville, MS;Greenville, MS;Greenville, MS;Greenville, MS;;;;;X
PROV6428;Meridian;Meridian;Meridian;Meridian;Meridian;Meridian;;;;;X
PROV6429;Hattiesburg;Hattiesburg;Hattiesburg;Hattiesburg;Hattiesburg;Hattiesburg;;;;;X
PROV6430;Bay Minette;Bay Minette;Bay Minette;Bay Minette;Bay Minette;Bay Minette;;;;;X
PROV6431;Birmingham, AL;Birmingham, AL;Birmingham, AL;Birmingham, AL;Birmingham, AL;Birmingham, AL;;;;;X
PROV6432;Decatur;Decatur;Decatur;Decatur;Decatur;Decatur;;;;;X
PROV6433;Gadsden;Gadsden;Gadsden;Gadsden;Gadsden;Gadsden;;;;;X
PROV6434;Huntsville;Huntsville;Huntsville;Huntsville;Huntsville;Huntsville;;;;;X
PROV6435;Linden;Linden;Linden;Linden;Linden;Linden;;;;;X
PROV6436;Phenix City;Phenix City;Phenix City;Phenix City;Phenix City;Phenix City;;;;;X
PROV6437;Anniston;Anniston;Anniston;Anniston;Anniston;Anniston;;;;;X
PROV6438;Dothan;Dothan;Dothan;Dothan;Dothan;Dothan;;;;;X
PROV6439;Greenville, AL;Greenville, AL;Greenville, AL;Greenville, AL;Greenville, AL;Greenville, AL;;;;;X
PROV6440;Rome;Rome;Rome;Rome;Rome;Rome;;;;;X
PROV6441;Athens;Athens;Athens;Athens;Athens;Athens;;;;;X
PROV6442;Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;;;;;X
PROV6443;Albany, GA;Albany, GA;Albany, GA;Albany, GA;Albany, GA;Albany, GA;;;;;X
PROV6444;Columbus, GA;Columbus, GA;Columbus, GA;Columbus, GA;Columbus, GA;Columbus, GA;;;;;X
PROV6445;Dublin;Dublin;Dublin;Dublin;Dublin;Dublin;;;;;X
PROV6446;Waycross;Waycross;Waycross;Waycross;Waycross;Waycross;;;;;X
PROV6447;Valdosta;Valdosta;Valdosta;Valdosta;Valdosta;Valdosta;;;;;X
PROV6448;Brunswick;Brunswick;Brunswick;Brunswick;Brunswick;Brunswick;;;;;X
PROV6449;Milledgeville;Milledgeville;Milledgeville;Milledgeville;Milledgeville;Milledgeville;;;;;X
PROV6450;Columbia, TN;Columbia, TN;Columbia, TN;Columbia, TN;Columbia, TN;Columbia, TN;;;;;X
PROV6451;Dyersburg;Dyersburg;Dyersburg;Dyersburg;Dyersburg;Dyersburg;;;;;X
PROV6452;Morristown;Morristown;Morristown;Morristown;Morristown;Morristown;;;;;X
PROV6453;Cookeville;Cookeville;Cookeville;Cookeville;Cookeville;Cookeville;;;;;X
PROV6454;Clarksville;Clarksville;Clarksville;Clarksville;Clarksville;Clarksville;;;;;X
PROV6455;Somerset;Somerset;Somerset;Somerset;Somerset;Somerset;;;;;X
PROV6456;Bowling Green;Bowling Green;Bowling Green;Bowling Green;Bowling Green;Bowling Green;;;;;X
PROV6457;Middlesboro;Middlesboro;Middlesboro;Middlesboro;Middlesboro;Middlesboro;;;;;X
PROV6458;Henderson;Henderson;Henderson;Henderson;Henderson;Henderson;;;;;X
PROV6459;Paducah;Paducah;Paducah;Paducah;Paducah;Paducah;;;;;X
PROV6460;Owensboro;Owensboro;Owensboro;Owensboro;Owensboro;Owensboro;;;;;X
PROV6461;Covington;Covington;Covington;Covington;Covington;Covington;;;;;X
PROV6462;Ashland;Ashland;Ashland;Ashland;Ashland;Ashland;;;;;X
PROV6463;Trenton;Trenton;Trenton;Trenton;Trenton;Trenton;;;;;X
PROV6464;Annapolis;Annapolis;Annapolis;Annapolis;Annapolis;Annapolis;;;;;X
PROV6465;Easton;Easton;Easton;Easton;Easton;Easton;;;;;X
PROV6466;Cumberland;Cumberland;Cumberland;Cumberland;Cumberland;Cumberland;;;;;X
PROV6467;Frederick;Frederick;Frederick;Frederick;Frederick;Frederick;;;;;X
PROV6468;Pulaski;Pulaski;Pulaski;Pulaski;Pulaski;Pulaski;;;;;X
PROV6469;Petersburg;Petersburg;Petersburg;Petersburg;Petersburg;Petersburg;;;;;X
PROV6470;Accomac;Accomac;Accomac;Accomac;Accomac;Accomac;;;;;X
PROV6471;Newport News;Newport News;Newport News;Newport News;Newport News;Newport News;;;;;X
PROV6472;Winchester;Winchester;Winchester;Winchester;Winchester;Winchester;;;;;X
PROV6473;Charleston, WV;Charleston, WV;Charleston, WV;Charleston, WV;Charleston, WV;Charleston, WV;;;;;X
PROV6474;Beckley;Beckley;Beckley;Beckley;Beckley;Beckley;;;;;X
PROV6475;Fairmont;Fairmont;Fairmont;Fairmont;Fairmont;Fairmont;;;;;X
PROV6476;Martinsburg;Martinsburg;Martinsburg;Martinsburg;Martinsburg;Martinsburg;;;;;X
PROV6477;Webster;Webster;Webster;Webster;Webster;Webster;;;;;X
PROV6478;Aiken;Aiken;Aiken;Aiken;Aiken;Aiken;;;;;X
PROV6479;Greenwood;Greenwood;Greenwood;Greenwood;Greenwood;Greenwood;;;;;X
PROV6480;Georgetown;Georgetown;Georgetown;Georgetown;Georgetown;Georgetown;;;;;X
PROV6481;Florence;Florence;Florence;Florence;Florence;Florence;;;;;X
PROV6482;Gastonia;Gastonia;Gastonia;Gastonia;Gastonia;Gastonia;;;;;X
PROV6483;Asheville;Asheville;Asheville;Asheville;Asheville;Asheville;;;;;X
PROV6484;Rocky Mount;Rocky Mount;Rocky Mount;Rocky Mount;Rocky Mount;Rocky Mount;;;;;X
PROV6485;Greensboro;Greensboro;Greensboro;Greensboro;Greensboro;Greensboro;;;;;X
PROV6486;Greenville, NC;Greenville, NC;Greenville, NC;Greenville, NC;Greenville, NC;Greenville, NC;;;;;X
PROV6487;Elizabeth City;Elizabeth City;Elizabeth City;Elizabeth City;Elizabeth City;Elizabeth City;;;;;X
PROV6488;New Bern;New Bern;New Bern;New Bern;New Bern;New Bern;;;;;X
PROV6489;Lake;Lake;Lake;Lake;Lake;Lake;;;;;X
PROV6490;Campo Oeste;Campo Oeste;Campo Oeste;Campo Oeste;Campo Oeste;Campo Oeste;;;;;X
PROV6491;Santos;Santos;Santos;Santos;Santos;Santos;;;;;X
PROV6492;Ilhas Selvagens;Ilhas Selvagens;Ilhas Selvagens;Ilhas Selvagens;Ilhas Selvagens;Ilhas Selvagens;;;;;X
PROV6493;Tagtabazar;Tagtabazar;Tagtabazar;Tagtabazar;Tagtabazar;Tagtabazar;;;;;X
PROV6494;Zhдnibek;Zhдnibek;Zhдnibek;Zhдnibek;Zhдnibek;Zhдnibek;;;;;X
PROV6495;Qeshm;Qeshm;Qeshm;Qeshm;Qeshm;Qeshm;;;;;X
PROV6496;Maingkwan;Maingkwan;Maingkwan;Maingkwan;Maingkwan;Maingkwan;;;;;X
PROV6497;Ningde;Ningde;Ningde;Ningde;Ningde;Ningde;;;;;X
PROV6498;Yuyao;Yuyao;Yuyao;Yuyao;Yuyao;Yuyao;;;;;X
PROV6499;al-Jahra;al-Jahra;al-Jahra;al-Jahra;al-Jahra;al-Jahra;;;;;X
PROV6500;Helgoland;Helgoland;Helgoland;Helgoland;Helgoland;Helgoland;;;;;X
PROV6501;Roatбn;Roatбn;Roatбn;Roatбn;Roatбn;Roatбn;;;;;X
PROV6502;Klein Curacao;Klein Curacao;Klein Curacao;Klein Curacao;Klein Curacao;Klein Curacao;;;;;X
PROV6503;Swan Islands;Swan Islands;Swan Islands;Swan Islands;Swan Islands;Swan Islands;;;;;X
PROV6504;Leуn;Leуn;Leуn;Leуn;Leуn;Leуn;;;;;X
PROV6505;Prilep;Prilep;Prilep;Prilep;Prilep;Prilep;;;;;X
PROV6506;Vidin;Vidin;Vidin;Vidin;Vidin;Vidin;;;;;X
PROV6507;Tsarevo;Tsarevo;Tsarevo;Tsarevo;Tsarevo;Tsarevo;;;;;X
PROV6508;Polygyros;Polygyros;Polygyros;Polygyros;Polygyros;Polygyros;;;;;X
PROV6509;Elassona;Elassona;Elassona;Elassona;Elassona;Elassona;;;;;X
PROV6510;Yambol;Yambol;Yambol;Yambol;Yambol;Yambol;;;;;X
PROV6511;Sulina;Sulina;Sulina;Sulina;Sulina;Sulina;;;;;X
PROV6512;Lugoj;Lugoj;Lugoj;Lugoj;Lugoj;Lugoj;;;;;X
PROV6513;Kaposvar;Kaposvar;Kaposvar;Kaposvar;Kaposvar;Kaposvar;;;;;X
PROV6514;Baja;Baja;Baja;Baja;Baja;Baja;;;;;X
PROV6515;Bielsk Podlaski;Bielsk Podlaski;Bielsk Podlaski;Bielsk Podlaski;Bielsk Podlaski;Bielsk Podlaski;;;;;X
PROV6516;Grajewo;Grajewo;Grajewo;Grajewo;Grajewo;Grajewo;;;;;X
PROV6517;Oszmiana;Oszmiana;Oszmiana;Oszmiana;Oszmiana;Oszmiana;;;;;X
PROV6518;Sumperk;Sumperk;Sumperk;Sumperk;Sumperk;Sumperk;;;;;X
PROV6519;Ratibor;Ratibor;Ratibor;Ratibor;Ratibor;Ratibor;;;;;X
PROV6520;Dessau;Dessau;Dessau;Dessau;Dessau;Dessau;;;;;X
PROV6521;Krefeld;Krefeld;Krefeld;Krefeld;Krefeld;Krefeld;;;;;X
PROV6522;Lake;Lake;Lake;Lake;Lake;Lake;;;;;X
PROV6523;Lake;Lake;Lake;Lake;Lake;Lake;;;;;X
PROV6524;Neuchatel;Neuchatel;Neuchatel;Neuchatel;Neuchatel;Neuchatel;;;;;X
PROV6525;Pantelleria;Pantelleria;Pantelleria;Pantelleria;Pantelleria;Pantelleria;;;;;X
PROV6526;Penуn de Velez de la Gomera;Penуn de Velez de la Gomera;Penуn de Velez de la Gomera;Penуn de Velez de la Gomera;Penуn de Velez de la Gomera;Penуn de Velez de la Gomera;;;;;X
PROV6527;Libourne;Libourne;Libourne;Libourne;Libourne;Libourne;;;;;X
PROV6528;Dorotea;Dorotea;Dorotea;Dorotea;Dorotea;Dorotea;;;;;X
PROV6529;Solleftea;Solleftea;Solleftea;Solleftea;Solleftea;Solleftea;;;;;X
PROV6530;Strцmsund;Strцmsund;Strцmsund;Strцmsund;Strцmsund;Strцmsund;;;;;X
PROV6531;Mora;Mora;Mora;Mora;Mora;Mora;;;;;X
PROV6532;Amal;Amal;Amal;Amal;Amal;Amal;;;;;X
PROV6533;Valle de Bravo;Valle de Bravo;Valle de Bravo;Valle de Bravo;Valle de Bravo;Valle de Bravo;;;;;X
PROV6534;Zenica;Zenica;Zenica;Zenica;Zenica;Zenica;;;;;X
PROV6535;Pale;Pale;Pale;Pale;Pale;Pale;;;;;X
PROV6536;Livno;Livno;Livno;Livno;Livno;Livno;;;;;X
PROV6537;Doboj;Doboj;Doboj;Doboj;Doboj;Doboj;;;;;X
PROV6538;Prijedor;Prijedor;Prijedor;Prijedor;Prijedor;Prijedor;;;;;X
PROV6539;Elkere;Elkere;Elkere;Elkere;Elkere;Elkere;;;;;X
PROV6540;Fiq;Fiq;Fiq;Fiq;Fiq;Fiq;;;;;X
PROV6541;Imi;Imi;Imi;Imi;Imi;Imi;;;;;X
PROV6542;Geladi;Geladi;Geladi;Geladi;Geladi;Geladi;;;;;X
PROV6543;Buuhoodle;Buuhoodle;Buuhoodle;Buuhoodle;Buuhoodle;Buuhoodle;;;;;X
PROV6544;Ceelbuur;Ceelbuur;Ceelbuur;Ceelbuur;Ceelbuur;Ceelbuur;;;;;X
PROV6545;Burtiinle;Burtiinle;Burtiinle;Burtiinle;Burtiinle;Burtiinle;;;;;X
PROV6546;Padova;Padova;Padova;Padova;Padova;Padova;;;;;X
PROV6547;Monza;Monza;Monza;Monza;Monza;Monza;;;;;X
PROV6548;Biella;Biella;Biella;Biella;Biella;Biella;;;;;X
PROV6549;Borgo San Dalmazzo;Borgo San Dalmazzo;Borgo San Dalmazzo;Borgo San Dalmazzo;Borgo San Dalmazzo;Borgo San Dalmazzo;;;;;X
PROV6550;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;;;;;X
PROV6551;Siena;Siena;Siena;Siena;Siena;Siena;;;;;X
PROV6552;Terni;Terni;Terni;Terni;Terni;Terni;;;;;X
PROV6553;Tivoli;Tivoli;Tivoli;Tivoli;Tivoli;Tivoli;;;;;X
PROV6554;Alghero;Alghero;Alghero;Alghero;Alghero;Alghero;;;;;X
PROV6555;Oristano;Oristano;Oristano;Oristano;Oristano;Oristano;;;;;X
PROV6556;Riberac;Riberac;Riberac;Riberac;Riberac;Riberac;;;;;X
PROV6557;Pozarevac;Pozarevac;Pozarevac;Pozarevac;Pozarevac;Pozarevac;;;;;X
PROV6558;Metkovic;Metkovic;Metkovic;Metkovic;Metkovic;Metkovic;;;;;X
PROV6559;Benkovac;Benkovac;Benkovac;Benkovac;Benkovac;Benkovac;;;;;X
PROV6560;Kranj;Kranj;Kranj;Kranj;Kranj;Kranj;;;;;X
PROV6561;Cakovec;Cakovec;Cakovec;Cakovec;Cakovec;Cakovec;;;;;X
PROV6562;Kacanik;Kacanik;Kacanik;Kacanik;Kacanik;Kacanik;;;;;X
PROV6563;Bosilegrad;Bosilegrad;Bosilegrad;Bosilegrad;Bosilegrad;Bosilegrad;;;;;X
PROV6564;Dimitrovgrad;Dimitrovgrad;Dimitrovgrad;Dimitrovgrad;Dimitrovgrad;Dimitrovgrad;;;;;X
PROV6565;Lahig;Lahig;Lahig;Lahig;Lahig;Lahig;;;;;X
PROV6566;Ahwar;Ahwar;Ahwar;Ahwar;Ahwar;Ahwar;;;;;X
PROV6567;Suq Abdulla;Suq Abdulla;Suq Abdulla;Suq Abdulla;Suq Abdulla;Suq Abdulla;;;;;X
PROV6568;Balhaf;Balhaf;Balhaf;Balhaf;Balhaf;Balhaf;;;;;X
PROV6569;as-Sihr;as-Sihr;as-Sihr;as-Sihr;as-Sihr;as-Sihr;;;;;X
PROV6570;al-Gaida;al-Gaida;al-Gaida;al-Gaida;al-Gaida;al-Gaida;;;;;X
PROV6571;Sabwa;Sabwa;Sabwa;Sabwa;Sabwa;Sabwa;;;;;X
PROV6572;;;;;;;;;;;X
PROV6573;;;;;;;;;;;X
PROV6574;;;;;;;;;;;X
PROV6575;;;;;;;;;;;X
PROV6576;;;;;;;;;;;X
PROV6577;;;;;;;;;;;X
PROV6578;;;;;;;;;;;X
PROV6579;;;;;;;;;;;X
PROV6580;;;;;;;;;;;X
PROV6581;;;;;;;;;;;X
PROV6582;;;;;;;;;;;X
PROV6583;;;;;;;;;;;X
PROV6584;;;;;;;;;;;X
PROV6585;;;;;;;;;;;X
PROV6586;;;;;;;;;;;X
PROV6587;;;;;;;;;;;X
PROV6588;;;;;;;;;;;X
PROV6589;;;;;;;;;;;X
PROV6590;Sydney, NS;Sydney, NS;Sydney, NS;Sydney, NS;Sydney, NS;Sydney, NS;;;;;X
PROV6591;Guysborough;Guysborough;Guysborough;Guysborough;Guysborough;Guysborough;;;;;X
PROV6592;Bridgewater;Bridgewater;Bridgewater;Bridgewater;Bridgewater;Bridgewater;;;;;X
PROV6593;Yarmouth;Yarmouth;Yarmouth;Yarmouth;Yarmouth;Yarmouth;;;;;X
PROV6594;Kentville;Kentville;Kentville;Kentville;Kentville;Kentville;;;;;X
PROV6595;Antigonish;Antigonish;Antigonish;Antigonish;Antigonish;Antigonish;;;;;X
PROV6596;Truro, NS;Truro, NS;Truro, NS;Truro, NS;Truro, NS;Truro, NS;;;;;X
PROV6597;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;;;;;X
PROV6598;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;;;;;X
PROV6599;Edmundston;Edmundston;Edmundston;Edmundston;Edmundston;Edmundston;;;;;X
PROV6600;Nackawic;Nackawic;Nackawic;Nackawic;Nackawic;Nackawic;;;;;X
PROV6601;Oromocto;Oromocto;Oromocto;Oromocto;Oromocto;Oromocto;;;;;X
PROV6602;Moncton;Moncton;Moncton;Moncton;Moncton;Moncton;;;;;X
PROV6603;Chatham;Chatham;Chatham;Chatham;Chatham;Chatham;;;;;X
PROV6604;Saint John;Saint John;Saint John;Saint John;Saint John;Saint John;;;;;X
PROV6605;Fort George;Fort George;Fort George;Fort George;Fort George;Fort George;;;;;X
PROV6606;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;;;;;X
PROV6607;Waswanipi;Waswanipi;Waswanipi;Waswanipi;Waswanipi;Waswanipi;;;;;X
PROV6608;Rouyn;Rouyn;Rouyn;Rouyn;Rouyn;Rouyn;;;;;X
PROV6609;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;;;;;X
PROV6610;Hull, QC;Hull, QC;Hull, QC;Hull, QC;Hull, QC;Hull, QC;;;;;X
PROV6611;Akulivik;Akulivik;Akulivik;Akulivik;Akulivik;Akulivik;;;;;X
PROV6612;Povungnituk;Povungnituk;Povungnituk;Povungnituk;Povungnituk;Povungnituk;;;;;X
PROV6613;Inukjuak;Inukjuak;Inukjuak;Inukjuak;Inukjuak;Inukjuak;;;;;X
PROV6614;Great Whale River;Great Whale River;Great Whale River;Great Whale River;Great Whale River;Great Whale River;;;;;X
PROV6615;Aupaluk;Aupaluk;Aupaluk;Aupaluk;Aupaluk;Aupaluk;;;;;X
PROV6616;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;;;;;X
PROV6617;Salluit;Salluit;Salluit;Salluit;Salluit;Salluit;;;;;X
PROV6618;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;;;;;X
PROV6619;Nitchequon;Nitchequon;Nitchequon;Nitchequon;Nitchequon;Nitchequon;;;;;X
PROV6620;Mistissini;Mistissini;Mistissini;Mistissini;Mistissini;Mistissini;;;;;X
PROV6621;Chapais;Chapais;Chapais;Chapais;Chapais;Chapais;;;;;X
PROV6622;Nemiscau;Nemiscau;Nemiscau;Nemiscau;Nemiscau;Nemiscau;;;;;X
PROV6623;Labrecque;Labrecque;Labrecque;Labrecque;Labrecque;Labrecque;;;;;X
PROV6624;Dolbeau;Dolbeau;Dolbeau;Dolbeau;Dolbeau;Dolbeau;;;;;X
PROV6625;Roberval;Roberval;Roberval;Roberval;Roberval;Roberval;;;;;X
PROV6626;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;;;;;X
PROV6627;La Tuque;La Tuque;La Tuque;La Tuque;La Tuque;La Tuque;;;;;X
PROV6628;Maniwaki;Maniwaki;Maniwaki;Maniwaki;Maniwaki;Maniwaki;;;;;X
PROV6629;Senneterre;Senneterre;Senneterre;Senneterre;Senneterre;Senneterre;;;;;X
PROV6630;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;;;;;X
PROV6631;Joliette;Joliette;Joliette;Joliette;Joliette;Joliette;;;;;X
PROV6632;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;;;;;X
PROV6633;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;;;;;X
PROV6634;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;;;;;X
PROV6635;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;;;;;X
PROV6636;Netagamu River;Netagamu River;Netagamu River;Netagamu River;Netagamu River;Netagamu River;;;;;X
PROV6637;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;;;;;X
PROV6638;Port-Menier;Port-Menier;Port-Menier;Port-Menier;Port-Menier;Port-Menier;;;;;X
PROV6639;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;;;;;X
PROV6640;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;;;;;X
PROV6641;Levis;Levis;Levis;Levis;Levis;Levis;;;;;X
PROV6642;Drummondville;Drummondville;Drummondville;Drummondville;Drummondville;Drummondville;;;;;X
PROV6643;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;;;;;X
PROV6644;Perce;Perce;Perce;Perce;Perce;Perce;;;;;X
PROV6645;Gaspe;Gaspe;Gaspe;Gaspe;Gaspe;Gaspe;;;;;X
PROV6646;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;;;;;X
PROV6647;North West River;North West River;North West River;North West River;North West River;North West River;;;;;X
PROV6648;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;;;;;X
PROV6649;Hebron;Hebron;Hebron;Hebron;Hebron;Hebron;;;;;X
PROV6650;Hopedale;Hopedale;Hopedale;Hopedale;Hopedale;Hopedale;;;;;X
PROV6651;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;;;;;X
PROV6652;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;;;;;X
PROV6653;Hamilton River;Hamilton River;Hamilton River;Hamilton River;Hamilton River;Hamilton River;;;;;X
PROV6654;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;;;;;X
PROV6655;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;;;;;X
PROV6656;Grand Falls;Grand Falls;Grand Falls;Grand Falls;Grand Falls;Grand Falls;;;;;X
PROV6657;St. Anthony;St. Anthony;St. Anthony;St. Anthony;St. Anthony;St. Anthony;;;;;X
PROV6658;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;;;;;X
